"Time","Flux","Count","Flux_1h_1h12m","Flux_1h_2h","Flux_1h_1d1h_top1","Flux_1h_1d1h_top2","Flux_1h_1d1h_top3","Flux_1h_1d1h_top4","Flux_1h_1d1h_top5","Flux_1h_1d1h_top6","Flux_1h_1d1h_top7","Flux_1h_1d1h_top8","Flux_1h_1d1h_top9","Flux_1h_1d1h_top10","Flux_1h_1d1h_top10sum"
2014-01-01 04:48:00,1.2747e-06,58,1.3115e-06,1.3429e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 05:00:00,1.217e-06,51,1.2406e-06,2.2558e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 05:12:00,1.1724e-06,55,1.1934e-06,2.2558e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 05:24:00,1.1829e-06,59,1.28e-06,2.2558e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 05:36:00,1.1698e-06,59,1.3429e-06,3.3104e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 05:48:00,1.2432e-06,59,2.2558e-06,3.3104e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 06:00:00,1.2406e-06,59,2.2139e-06,3.3104e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 06:12:00,1.1934e-06,58,1.9096e-06,3.3104e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 06:24:00,1.2275e-06,59,3.3104e-06,3.3104e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 06:36:00,1.2092e-06,58,1.5082e-06,1.5082e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 06:48:00,1.6079e-06,59,1.3193e-06,1.3193e-06,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,1.4492e-05,1.4182e-05,1.3831e-05,1.3422e-05,1.2981e-05,1.2556e-05,0.000162497
2014-01-01 07:00:00,1.6866e-06,58,1.196e-06,1.461e-06,1.3831e-05,1.3422e-05,1.2981e-05,1.2556e-05,1.2309e-05,1.2299e-05,1.2136e-05,1.1727e-05,1.1396e-05,1.1003e-05,0.000162497
2014-01-01 07:12:00,1.9017e-06,59,1.2538e-06,2.0355e-06,1.2309e-05,1.2299e-05,1.1396e-05,1.1003e-05,1.0604e-05,1.0221e-05,1.0064e-05,9.8541e-06,9.6127e-06,9.4973e-06,0.000162497
2014-01-01 07:24:00,2.2585e-06,59,1.2432e-06,2.2532e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1773e-06,9.1668e-06,8.8782e-06,8.8625e-06,8.7103e-06,0.000162497
2014-01-01 07:36:00,1.5082e-06,58,1.0937e-06,2.2532e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,0.000162497
2014-01-01 07:48:00,1.2957e-06,59,1.461e-06,2.2532e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,0.000142566
2014-01-01 08:00:00,1.1646e-06,58,2.0355e-06,2.2532e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,0.00012366
2014-01-01 08:12:00,1.0937e-06,59,2.2532e-06,2.2532e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,0.0001068601
2014-01-01 08:24:00,1.2432e-06,58,1.4321e-06,1.6262e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.85404e-05
2014-01-01 08:36:00,1.0911e-06,59,1.2826e-06,1.6262e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 08:48:00,1.1357e-06,59,1.4662e-06,1.6262e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 09:00:00,1.7128e-06,58,1.4741e-06,1.6262e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 09:12:00,2.2532e-06,59,1.6262e-06,1.6262e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 09:24:00,1.4321e-06,58,1.5712e-06,2.3581e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 09:36:00,1.2406e-06,59,1.44e-06,2.4158e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 09:48:00,1.2328e-06,58,1.4111e-06,2.4158e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 10:00:00,1.4164e-06,59,1.3744e-06,2.4158e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 10:12:00,1.4925e-06,59,2.3581e-06,2.4158e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 10:24:00,1.5712e-06,59,2.4158e-06,2.4158e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 10:36:00,1.4033e-06,59,1.7233e-06,1.9437e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 10:48:00,1.4111e-06,58,1.7758e-06,1.9437e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 11:00:00,1.3744e-06,59,1.9279e-06,1.9437e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 11:12:00,1.3666e-06,58,1.8623e-06,1.9437e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 11:24:00,2.4158e-06,59,1.9437e-06,2.067e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 11:36:00,1.5266e-06,58,1.7049e-06,2.067e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 11:48:00,1.6761e-06,59,1.5816e-06,2.0827e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 12:00:00,1.8781e-06,59,1.5659e-06,2.3975e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 12:12:00,1.8545e-06,58,2.067e-06,2.3975e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 12:24:00,1.8597e-06,59,2.0328e-06,2.3975e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 12:36:00,1.7049e-06,58,2.0827e-06,2.3975e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 12:48:00,1.5528e-06,59,2.3975e-06,2.8461e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 13:00:00,1.5659e-06,58,2.3424e-06,3.0821e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 13:12:00,1.5895e-06,59,2.1325e-06,3.2894e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 13:24:00,2.0328e-06,59,2.3608e-06,3.8455e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 13:36:00,1.9961e-06,58,2.8461e-06,3.8455e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 13:48:00,2.0958e-06,59,3.0821e-06,6.0661e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 14:00:00,2.3424e-06,58,3.2894e-06,6.5802e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 14:12:00,2.1325e-06,59,3.8455e-06,6.5802e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 14:24:00,2.1142e-06,58,3.6357e-06,6.5802e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 14:36:00,2.3057e-06,59,6.0661e-06,6.5802e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
