Year,Month,Day,Hour Start,Minute Start,Hour End,Minute End,Hour Peak,Minute Peak,Hour Peak,Minute Peak,Peak Flux
2011,3,8,10,35,10,55,10,44,10,44,5.37E-05
2017,4,2,7,50,8,13,8,2,8,2,5.32E-05
2014,5,8,9,20,10,18,10,7,10,8,5.32E-05
2015,3,10,3,19,3,28,3,24,3,24,5.29E-05
2014,1,7,10,7,10,37,10,13,10,12,5.26E-05
2010,11,6,15,27,15,44,15,36,15,36,5.15E-05
2015,3,10,23,46,0,6,0,2,0,2,5.12E-05
2014,9,28,2,39,3,19,2,58,2,58,5.11E-05
2014,2,4,3,57,4,6,4,0,4,0,5.10E-05
2012,5,17,1,25,2,14,1,47,1,46,5.06E-05
2013,5,22,13,8,14,8,13,32,13,32,5.04E-05
2016,7,23,1,46,2,23,2,11,2,12,5.02E-05
2017,4,2,20,26,20,38,20,33,20,32,4.96E-05
2015,1,13,4,46,5,10,4,58,4,58,4.94E-05
2014,1,28,19,0,19,46,19,40,19,40,4.92E-05
2012,10,22,18,38,19,1,18,51,18,50,4.88E-05
2012,5,9,12,21,12,36,12,32,12,32,4.84E-05
2012,7,5,3,25,3,39,3,36,3,36,4.82E-05
2012,7,4,22,3,22,15,22,9,22,10,4.69E-05
2015,12,23,0,23,0,52,0,40,0,40,4.68E-05
2013,11,3,5,16,5,26,5,22,5,22,4.55E-05
2014,10,20,16,0,16,55,16,37,16,36,4.52E-05
2013,10,22,21,15,21,22,21,20,21,20,4.51E-05
2011,3,8,18,8,18,41,18,28,18,28,4.46E-05
2014,1,27,22,5,22,15,22,10,22,10,4.41E-05
2017,4,1,21,35,22,5,21,48,21,48,4.35E-05
2011,11,2,21,52,22,19,22,1,22,2,4.34E-05
2013,10,28,4,32,4,46,4,41,4,40,4.32E-05
2011,3,14,19,30,19,54,19,52,19,52,4.23E-05
2010,2,8,7,36,7,46,7,43,7,44,4.21E-05
2014,2,2,9,24,9,36,9,31,9,30,4.18E-05
2012,5,9,21,1,21,9,21,5,21,6,4.16E-05
2015,3,12,13,50,14,13,14,8,14,8,4.14E-05
2014,10,26,18,7,18,20,18,15,18,14,4.13E-05
2015,10,1,13,3,13,14,13,10,13,10,4.12E-05
2014,10,24,7,37,7,53,7,48,7,48,4.10E-05
2013,10,28,15,7,15,21,15,15,15,14,4.09E-05
2011,9,26,5,6,5,13,5,8,5,8,4.08E-05
2014,1,4,18,47,20,23,19,46,19,46,4.06E-05
2015,3,2,19,21,19,36,19,31,19,30,3.95E-05
2015,11,9,12,49,13,28,13,12,13,12,3.94E-05
2014,8,25,20,6,20,29,20,21,20,20,3.93E-05
2011,10,2,0,37,0,59,0,50,0,50,3.93E-05
2013,11,1,19,46,19,58,19,53,19,52,3.93E-05
2013,5,10,0,44,1,8,0,57,0,56,3.88E-05
2015,6,21,9,38,9,50,9,44,9,44,3.87E-05
2013,11,6,13,39,13,53,13,46,13,46,3.87E-05
2014,2,4,1,16,1,31,1,23,1,24,3.85E-05
2011,9,25,15,26,15,38,15,33,15,34,3.82E-05
2014,1,28,15,24,15,28,15,26,15,26,3.82E-05
2014,11,15,20,38,20,50,20,46,20,46,3.81E-05
2011,11,5,3,8,3,58,3,35,3,34,3.79E-05
2014,10,20,9,0,9,20,9,11,9,10,3.78E-05
2015,3,2,15,10,15,37,15,28,15,28,3.75E-05
2014,1,8,3,39,3,54,3,47,3,48,3.72E-05
