Year,Month,Day,Hour Start,Minute Start,Hour End,Minute End,Hour Peak,Minute Peak,Hour Peak,Minute Peak,Peak Flux
2014,12,14,22,5,22,15,22,9,22,10,3.67E-06
2012,11,29,7,3,7,18,7,10,7,10,3.67E-06
2011,8,4,7,56,8,6,8,2,8,2,3.66E-06
2011,7,28,20,29,20,40,20,37,20,38,3.66E-06
2014,6,9,1,14,1,25,1,20,1,20,3.66E-06
2014,2,1,12,29,12,38,12,34,12,34,3.66E-06
2014,5,7,6,21,6,38,6,30,6,30,3.66E-06
2013,11,15,3,57,4,6,4,1,4,2,3.66E-06
2013,1,10,19,45,20,18,19,55,19,54,3.66E-06
2015,5,5,11,55,12,0,11,58,11,58,3.65E-06
2013,11,17,1,2,1,13,1,7,1,8,3.65E-06
2012,4,25,12,7,12,19,12,15,12,14,3.65E-06
2012,1,11,4,31,5,9,4,46,4,46,3.65E-06
2011,3,10,13,19,13,34,13,25,13,24,3.65E-06
2014,7,6,6,55,7,3,7,0,7,0,3.65E-06
2014,6,14,9,11,10,16,9,46,9,46,3.65E-06
2013,7,5,15,31,15,53,15,42,15,42,3.65E-06
2011,11,30,21,53,22,48,22,32,22,32,3.64E-06
2016,1,29,7,57,8,26,8,18,8,18,3.64E-06
2014,12,26,15,4,15,25,15,16,15,16,3.64E-06
2012,5,18,7,53,8,39,8,23,8,24,3.64E-06
2012,5,6,20,5,20,20,20,15,20,14,3.64E-06
2014,12,14,20,12,20,18,20,16,20,16,3.64E-06
2014,8,31,9,51,12,6,11,18,11,18,3.64E-06
2014,10,17,19,28,19,36,19,33,19,32,3.64E-06
2010,7,14,20,31,21,22,20,47,20,46,3.63E-06
2011,11,4,0,1,0,16,0,11,0,10,3.63E-06
2015,6,13,1,34,1,49,1,42,1,42,3.63E-06
2013,10,25,23,12,23,26,23,17,23,18,3.63E-06
2011,4,22,19,30,19,40,19,35,19,36,3.63E-06
2016,7,21,22,34,22,58,22,46,22,46,3.63E-06
2014,10,17,12,43,12,56,12,49,12,48,3.63E-06
2013,11,5,9,12,9,22,9,18,9,18,3.63E-06
2012,9,25,4,24,4,49,4,35,4,36,3.63E-06
2013,4,30,19,29,20,17,19,59,19,58,3.62E-06
2012,8,16,12,41,13,48,13,16,13,16,3.62E-06
2014,11,2,16,58,17,6,17,3,17,4,3.62E-06
2013,10,23,6,0,6,8,6,4,6,4,3.62E-06
2011,8,4,23,21,23,32,23,28,23,28,3.62E-06
2016,7,24,13,15,13,30,13,23,13,24,3.62E-06
2014,4,22,5,25,6,6,5,47,5,46,3.62E-06
2012,7,7,23,56,0,16,0,9,0,8,3.61E-06
2014,2,5,7,43,8,3,7,50,7,50,3.61E-06
2013,11,15,22,58,23,10,23,3,23,4,3.61E-06
2014,1,29,20,19,20,50,20,33,20,32,3.61E-06
2010,2,10,15,10,15,19,15,14,15,14,3.61E-06
2014,11,12,20,36,20,50,20,43,20,42,3.61E-06
2012,2,7,1,15,1,30,1,23,1,24,3.61E-06
2015,11,3,16,54,17,5,17,0,17,0,3.60E-06
2015,3,3,0,17,0,34,0,27,0,28,3.60E-06
2014,7,30,18,42,18,53,18,48,18,48,3.60E-06
2013,10,28,1,25,1,36,1,30,1,30,3.60E-06
2013,11,13,10,7,10,39,10,35,10,36,3.60E-06
2014,11,22,5,58,6,7,6,3,6,2,3.59E-06
2014,11,8,14,19,16,9,15,57,15,56,3.59E-06
2014,4,10,17,49,18,56,18,17,18,16,3.59E-06
2015,3,1,5,4,5,21,5,13,5,12,3.59E-06
2014,6,12,0,37,0,49,0,42,0,42,3.59E-06
2014,5,17,2,34,2,48,2,39,2,40,3.59E-06
2015,5,13,5,47,6,17,5,59,6,0,3.58E-06
2014,3,10,20,22,21,19,21,14,21,14,3.58E-06
2015,3,5,8,46,10,2,9,47,9,48,3.58E-06
2014,1,4,2,37,2,51,2,43,2,42,3.58E-06
2012,8,4,11,4,16,49,15,0,15,0,3.58E-06
2011,3,7,7,11,7,30,7,18,7,18,3.58E-06
2014,4,2,5,57,6,17,6,8,6,8,3.57E-06
2012,7,2,22,5,22,15,22,12,22,12,3.57E-06
2016,5,2,8,32,8,47,8,42,8,42,3.57E-06
2015,8,28,19,30,19,42,19,39,19,38,3.57E-06
2015,1,3,6,43,6,53,6,49,6,48,3.57E-06
2015,9,17,22,56,23,5,23,0,23,0,3.57E-06
2011,4,16,5,26,5,45,5,38,5,38,3.57E-06
2014,8,23,1,49,2,9,1,56,1,56,3.56E-06
2014,2,18,1,27,1,40,1,33,1,32,3.56E-06
2013,6,19,7,20,7,37,7,29,7,30,3.56E-06
2013,3,21,18,10,18,28,18,22,18,22,3.56E-06
2011,4,16,16,34,17,8,16,53,16,52,3.56E-06
2013,10,29,15,9,15,46,15,34,15,34,3.56E-06
2010,2,7,21,31,21,45,21,39,21,38,3.56E-06
2014,6,15,15,41,16,10,15,59,15,58,3.56E-06
2013,7,12,17,16,17,55,17,33,17,32,3.55E-06
2011,11,7,3,5,3,16,3,10,3,10,3.55E-06
2016,3,20,1,22,1,38,1,33,1,32,3.55E-06
2015,8,28,23,39,23,57,23,47,23,46,3.55E-06
2014,12,12,14,35,14,42,14,40,14,40,3.55E-06
2013,10,27,9,30,9,58,9,36,9,36,3.55E-06
2013,5,23,18,41,18,54,18,47,18,48,3.55E-06
2011,10,16,15,53,15,59,15,57,15,56,3.55E-06
2014,3,3,21,33,21,53,21,45,21,44,3.55E-06
2012,3,10,2,33,2,45,2,39,2,40,3.55E-06
2012,12,7,21,13,21,27,21,21,21,20,3.54E-06
2011,12,30,8,19,8,30,8,25,8,26,3.54E-06
2014,4,1,20,28,20,34,20,32,20,32,3.54E-06
2011,7,26,21,53,22,53,22,41,22,40,3.53E-06
2012,7,2,5,1,5,14,5,8,5,8,3.53E-06
2013,4,16,21,17,21,54,21,32,21,32,3.52E-06
2012,7,8,2,3,2,14,2,9,2,8,3.52E-06
2014,11,10,23,26,23,38,23,33,23,32,3.52E-06
2012,3,19,21,55,22,16,22,4,22,4,3.52E-06
2011,3,22,3,31,3,40,3,37,3,36,3.52E-06
2015,6,5,17,24,17,45,17,34,17,34,3.52E-06
2013,11,2,21,28,21,39,21,32,21,32,3.52E-06
2011,9,18,7,32,7,37,7,35,7,36,3.52E-06
2014,11,23,10,41,11,16,10,53,10,52,3.51E-06
2015,10,15,19,51,19,59,19,56,19,56,3.51E-06
2014,6,11,6,26,6,37,6,32,6,32,3.51E-06
2012,5,7,6,45,7,8,7,3,7,2,3.51E-06
2012,6,28,21,41,21,49,21,47,21,48,3.50E-06
2011,4,1,1,46,2,7,1,56,1,56,3.50E-06
2015,1,9,5,46,5,59,5,54,5,54,3.50E-06
2014,10,26,15,52,16,0,15,56,15,56,3.50E-06
2014,5,11,18,40,19,49,19,16,19,16,3.50E-06
2014,10,30,17,53,18,1,17,58,17,58,3.50E-06
2012,7,5,14,15,14,20,14,18,14,18,3.49E-06
2014,2,3,0,38,0,44,0,42,0,42,3.49E-06
2012,8,30,1,37,1,58,1,52,1,52,3.49E-06
2013,5,9,5,16,5,31,5,23,5,24,3.49E-06
2016,7,20,23,45,23,54,23,51,23,52,3.49E-06
2015,7,3,9,10,9,24,9,19,9,20,3.49E-06
2012,11,14,13,35,14,1,13,45,13,44,3.49E-06
2014,6,28,6,16,7,15,7,1,7,2,3.48E-06
2013,10,25,6,10,6,30,6,27,6,28,3.48E-06
2014,2,6,2,31,3,0,2,51,2,52,3.48E-06
2011,9,30,18,42,18,53,18,47,18,48,3.48E-06
2012,10,9,20,43,20,55,20,50,20,50,3.48E-06
2014,12,14,1,24,1,35,1,29,1,30,3.47E-06
2012,3,6,1,13,1,25,1,18,1,18,3.47E-06
2014,10,21,21,54,22,14,22,4,22,4,3.47E-06
2014,2,16,13,48,14,5,14,0,14,0,3.47E-06
2012,10,22,0,21,0,36,0,26,0,26,3.47E-06
2014,10,24,2,55,3,4,3,0,3,0,3.47E-06
2014,6,28,23,25,23,42,23,33,23,32,3.47E-06
2013,6,24,8,18,8,27,8,24,8,24,3.47E-06
2012,3,5,0,23,0,47,0,36,0,36,3.46E-06
2015,5,6,6,36,6,46,6,41,6,42,3.46E-06
2014,4,15,3,10,3,26,3,17,3,16,3.46E-06
2014,10,30,5,42,5,49,5,46,5,46,3.46E-06
2012,6,15,13,7,13,33,13,24,13,24,3.46E-06
2012,9,7,0,36,0,53,0,45,0,44,3.45E-06
2015,5,6,11,45,11,51,11,49,11,48,3.45E-06
2011,11,25,3,38,3,49,3,45,3,44,3.45E-06
2010,2,6,15,25,15,49,15,39,15,38,3.45E-06
2014,9,26,23,6,23,14,23,10,23,10,3.44E-06
2011,2,18,4,44,5,1,4,51,4,50,3.44E-06
2013,12,12,6,38,7,37,6,59,6,58,3.44E-06
2013,10,18,7,24,7,31,7,29,7,30,3.44E-06
2015,8,20,5,8,6,29,5,26,5,26,3.44E-06
2015,2,18,21,53,22,13,22,8,22,8,3.44E-06
2013,11,17,2,12,2,21,2,17,2,18,3.44E-06
2015,3,2,12,59,13,13,13,7,13,8,3.44E-06
2014,10,29,3,10,3,17,3,14,3,14,3.44E-06
2014,8,4,0,46,1,1,0,53,0,54,3.44E-06
2014,6,28,7,36,7,49,7,44,7,44,3.44E-06
2013,10,14,21,20,21,34,21,27,21,28,3.44E-06
2014,12,16,4,43,4,52,4,48,4,48,3.43E-06
2014,2,5,14,41,14,50,14,46,14,46,3.43E-06
2014,10,23,19,11,19,18,19,15,19,16,3.43E-06
2014,3,19,12,49,12,56,12,53,12,54,3.43E-06
2013,1,14,15,38,15,56,15,46,15,46,3.43E-06
2017,4,18,9,29,9,55,9,41,9,42,3.43E-06
2011,8,17,10,19,11,8,10,42,10,42,3.43E-06
2015,8,7,18,53,19,24,19,10,19,10,3.43E-06
2014,9,28,1,9,1,28,1,16,1,16,3.43E-06
2015,8,28,8,13,8,31,8,19,8,18,3.42E-06
2014,3,18,4,56,5,15,5,6,5,6,3.42E-06
2014,1,20,2,8,2,38,2,20,2,20,3.42E-06
2012,7,6,17,7,17,15,17,10,17,10,3.42E-06
2015,3,18,16,5,16,15,16,10,16,10,3.42E-06
2015,1,11,8,14,10,25,9,24,9,24,3.42E-06
2014,2,9,20,7,20,41,20,28,20,28,3.42E-06
2014,1,3,10,7,10,19,10,15,10,16,3.42E-06
2014,1,2,20,30,20,55,20,38,20,38,3.42E-06
2015,10,17,1,21,1,56,1,40,1,40,3.42E-06
2015,8,22,11,17,11,47,11,34,11,34,3.42E-06
2015,5,6,11,3,11,23,11,12,11,12,3.41E-06
2014,2,1,20,38,20,52,20,46,20,46,3.41E-06
2014,1,31,4,46,5,17,5,5,5,4,3.41E-06
2010,11,3,12,43,13,51,13,8,13,8,3.41E-06
2014,10,29,23,54,0,24,0,11,0,10,3.41E-06
2014,2,2,4,10,4,22,4,14,4,14,3.41E-06
2013,4,21,18,35,18,42,18,39,18,38,3.41E-06
2015,2,3,10,45,10,59,10,53,10,52,3.41E-06
2014,1,29,6,53,7,34,7,19,7,18,3.41E-06
2011,3,8,9,32,9,39,9,35,9,34,3.41E-06
2014,9,12,20,5,20,14,20,12,20,12,3.40E-06
2014,11,11,4,41,4,56,4,50,4,50,3.40E-06
2011,9,26,9,58,10,12,10,1,10,2,3.40E-06
2015,2,5,9,45,10,4,9,53,9,54,3.40E-06
2014,11,27,8,28,9,3,8,48,8,48,3.40E-06
2012,7,7,14,42,14,54,14,47,14,46,3.40E-06
2013,4,29,5,2,5,28,5,18,5,18,3.39E-06
2014,1,8,16,48,17,4,16,54,16,54,3.39E-06
2013,4,25,10,43,11,10,10,52,10,52,3.39E-06
2017,4,3,13,1,13,9,13,6,13,6,3.39E-06
2015,10,13,14,33,14,56,14,44,14,44,3.39E-06
2014,4,6,20,54,21,11,21,1,21,0,3.39E-06
2012,6,1,22,30,23,2,22,41,22,40,3.39E-06
2016,3,9,12,36,13,6,12,50,12,50,3.38E-06
2015,9,30,4,26,4,31,4,29,4,30,3.38E-06
2011,8,4,2,14,2,28,2,23,2,24,3.38E-06
2014,3,3,7,4,7,13,7,9,7,10,3.38E-06
2013,1,11,5,31,5,40,5,36,5,36,3.38E-06
2011,12,23,19,12,19,25,19,18,19,18,3.38E-06
2011,8,15,11,10,11,33,11,20,11,20,3.38E-06
2015,1,5,8,19,8,25,8,22,8,22,3.37E-06
2014,11,14,20,3,20,21,20,11,20,12,3.37E-06
2014,9,19,17,27,18,58,18,32,18,32,3.37E-06
2011,11,3,1,24,1,35,1,30,1,30,3.37E-06
2010,7,9,19,26,20,16,19,51,19,50,3.37E-06
2015,4,16,19,7,19,34,19,18,19,18,3.37E-06
2015,1,3,6,13,6,20,6,17,6,16,3.37E-06
2014,9,7,14,34,14,44,14,39,14,40,3.37E-06
2014,3,29,14,26,14,37,14,32,14,32,3.37E-06
2014,3,19,16,20,16,33,16,28,16,28,3.37E-06
2011,11,17,7,16,7,30,7,27,7,26,3.37E-06
2017,5,28,19,22,19,37,19,28,19,28,3.37E-06
2012,10,9,21,32,22,3,21,51,21,50,3.37E-06
2015,5,13,11,4,11,14,11,11,11,12,3.37E-06
2015,4,9,23,36,23,51,23,45,23,46,3.37E-06
2014,12,28,17,50,18,9,17,59,18,0,3.37E-06
2015,1,10,11,14,11,54,11,33,11,32,3.36E-06
2013,11,23,17,48,17,57,17,53,17,54,3.36E-06
2012,6,27,12,33,12,40,12,38,12,38,3.36E-06
2012,5,5,17,56,18,16,18,7,18,6,3.36E-06
2014,4,23,23,22,0,5,23,53,23,54,3.36E-06
2011,10,16,14,28,14,49,14,35,14,34,3.36E-06
2014,4,25,11,55,12,38,12,8,12,8,3.36E-06
2012,6,27,5,18,5,35,5,27,5,26,3.36E-06
2010,9,8,23,5,0,10,23,33,23,32,3.36E-06
2014,11,26,22,21,22,30,22,26,22,26,3.36E-06
2011,11,2,8,31,8,54,8,43,8,42,3.36E-06
2012,10,19,20,46,20,55,20,52,20,52,3.35E-06
2011,2,19,2,56,3,11,3,3,3,2,3.35E-06
2017,4,3,11,7,11,25,11,13,11,12,3.35E-06
2015,10,3,6,25,6,40,6,33,6,34,3.35E-06
2015,9,27,23,16,23,26,23,21,23,20,3.35E-06
2014,10,27,5,1,5,11,5,4,5,4,3.35E-06
2014,4,1,0,43,0,55,0,50,0,50,3.35E-06
2014,6,30,13,8,13,45,13,18,13,18,3.35E-06
2014,1,30,9,58,10,7,10,2,10,2,3.34E-06
2013,11,4,5,36,5,52,5,44,5,44,3.34E-06
2013,10,24,4,52,5,13,5,7,5,6,3.34E-06
2012,3,1,15,10,15,36,15,26,15,26,3.34E-06
2012,2,12,14,37,14,46,14,43,14,42,3.34E-06
2010,12,15,6,27,6,50,6,39,6,38,3.34E-06
2012,1,12,13,11,13,33,13,23,13,24,3.34E-06
2013,11,12,4,33,6,52,5,27,5,26,3.34E-06
2014,2,23,11,43,12,27,12,14,12,14,3.33E-06
2011,12,14,4,50,4,59,4,56,4,56,3.33E-06
2011,7,29,12,13,12,26,12,17,12,16,3.33E-06
2013,12,21,2,56,3,8,3,3,3,2,3.33E-06
2012,8,14,0,23,0,42,0,31,0,30,3.33E-06
2015,3,25,16,30,17,1,16,45,16,44,3.33E-06
2014,1,28,3,8,3,16,3,12,3,12,3.33E-06
2011,9,23,19,6,19,16,19,11,19,10,3.33E-06
2011,11,22,9,49,9,56,9,54,9,54,3.33E-06
2015,1,11,1,56,3,30,2,53,2,54,3.32E-06
2013,10,24,21,9,21,22,21,14,21,14,3.32E-06
2012,11,24,13,33,13,44,13,40,13,40,3.32E-06
2011,11,21,0,3,0,13,0,10,0,10,3.32E-06
2015,3,11,5,11,5,18,5,15,5,14,3.32E-06
2013,10,29,3,3,3,19,3,10,3,10,3.32E-06
2013,4,28,23,27,23,33,23,31,23,32,3.32E-06
2014,8,31,5,37,6,1,5,55,5,54,3.32E-06
2013,2,20,14,52,14,58,14,56,14,56,3.31E-06
2013,10,23,4,50,5,28,5,12,5,12,3.31E-06
2012,9,1,0,28,0,49,0,39,0,38,3.31E-06
2011,4,30,13,8,14,20,13,26,13,26,3.31E-06
2014,3,11,14,11,14,31,14,21,14,20,3.31E-06
2016,2,27,5,44,6,1,5,55,5,54,3.31E-06
2015,9,17,18,8,18,27,18,18,18,18,3.31E-06
2014,10,22,12,0,12,15,12,5,12,6,3.31E-06
2013,11,12,6,18,6,28,6,24,6,24,3.31E-06
2016,2,14,4,27,4,52,4,39,4,38,3.30E-06
2014,2,14,7,35,7,43,7,38,7,38,3.30E-06
2013,11,14,6,43,6,50,6,46,6,46,3.30E-06
2015,11,21,13,36,14,5,13,53,13,52,3.30E-06
2011,11,3,10,3,10,17,10,11,10,10,3.30E-06
2014,2,13,0,35,1,6,0,52,0,52,3.30E-06
2014,1,1,7,21,7,29,7,26,7,26,3.30E-06
2012,1,19,12,41,13,0,12,50,12,50,3.30E-06
2014,2,18,9,49,10,11,9,59,9,58,3.29E-06
2012,3,4,17,24,17,35,17,31,17,32,3.29E-06
2014,8,30,4,49,5,8,4,56,4,56,3.29E-06
2014,5,15,5,26,5,41,5,34,5,34,3.29E-06
2014,11,22,6,9,6,17,6,14,6,14,3.29E-06
2015,6,10,12,32,13,23,13,5,13,4,3.29E-06
2014,7,30,2,43,2,50,2,46,2,46,3.29E-06
2014,6,13,10,39,10,56,10,51,10,50,3.29E-06
2011,9,9,14,42,15,24,14,59,15,0,3.28E-06
2014,9,29,19,42,22,55,21,32,21,32,3.28E-06
2014,1,27,4,9,4,21,4,17,4,16,3.28E-06
2014,2,20,3,15,3,57,3,35,3,34,3.28E-06
2012,7,14,10,29,10,51,10,39,10,38,3.28E-06
2014,3,31,4,1,4,29,4,11,4,10,3.27E-06
2011,11,28,18,22,18,39,18,30,18,30,3.27E-06
2014,2,1,10,43,10,49,10,46,10,46,3.27E-06
2013,11,14,1,32,1,49,1,40,1,40,3.27E-06
2014,9,12,8,24,10,43,9,55,9,56,3.27E-06
2014,5,9,14,13,14,38,14,19,14,18,3.27E-06
2012,5,2,11,32,11,46,11,39,11,40,3.27E-06
2011,4,30,11,32,11,59,11,51,11,52,3.27E-06
2013,11,24,1,36,2,47,2,31,2,32,3.26E-06
2012,1,1,7,24,7,44,7,34,7,34,3.26E-06
2012,11,15,12,40,13,10,12,54,12,54,3.26E-06
2015,3,29,15,24,15,38,15,30,15,30,3.26E-06
2014,10,25,12,13,12,25,12,20,12,20,3.26E-06
2013,4,26,12,41,13,0,12,57,12,56,3.26E-06
2012,10,16,16,12,16,39,16,27,16,26,3.26E-06
2014,9,9,12,19,12,35,12,26,12,26,3.26E-06
2014,6,15,17,6,18,11,17,25,17,26,3.26E-06
2011,11,3,7,11,7,26,7,15,7,16,3.26E-06
2011,3,6,3,37,3,51,3,45,3,44,3.26E-06
2011,2,16,10,25,10,39,10,32,10,32,3.25E-06
2015,10,11,21,55,23,26,22,29,22,30,3.25E-06
2015,9,17,19,47,19,57,19,54,19,54,3.25E-06
2015,3,2,7,4,7,20,7,10,7,10,3.25E-06
2014,5,11,17,7,17,19,17,14,17,14,3.25E-06
2014,11,14,5,45,5,55,5,52,5,52,3.24E-06
2012,5,14,16,9,16,20,16,15,16,16,3.24E-06
2012,5,11,23,2,0,33,23,44,23,44,3.24E-06
2015,10,27,13,8,15,15,14,29,14,28,3.24E-06
2014,9,5,9,28,9,38,9,33,9,34,3.24E-06
2013,11,16,5,58,6,4,6,2,6,2,3.24E-06
2013,11,10,9,18,9,48,9,27,9,28,3.24E-06
2015,1,19,20,41,20,52,20,48,20,48,3.23E-06
2015,1,12,2,18,2,32,2,25,2,26,3.23E-06
2012,6,27,7,57,8,18,8,8,8,8,3.23E-06
2014,5,15,3,36,3,44,3,40,3,40,3.23E-06
2013,12,31,18,53,19,3,18,59,18,58,3.23E-06
2013,10,25,6,49,7,10,7,1,7,2,3.23E-06
2014,12,21,15,43,16,13,16,1,16,2,3.23E-06
2014,11,6,0,44,0,57,0,51,0,50,3.23E-06
2011,11,23,13,23,13,30,13,28,13,28,3.23E-06
2015,3,12,22,54,23,2,22,58,22,58,3.23E-06
2014,10,3,0,5,0,12,0,8,0,8,3.23E-06
2014,2,2,4,59,5,4,5,2,5,2,3.23E-06
2014,1,17,3,50,5,11,4,16,4,16,3.23E-06
2011,11,7,22,39,0,2,23,28,23,28,3.23E-06
2016,2,15,14,40,15,13,15,4,15,4,3.22E-06
2014,6,13,16,49,17,3,16,55,16,54,3.22E-06
2012,9,10,12,50,12,59,12,55,12,56,3.22E-06
2012,8,7,18,38,18,54,18,50,18,50,3.22E-06
2015,2,9,18,22,19,20,19,10,19,10,3.22E-06
2014,8,21,0,26,1,5,0,46,0,46,3.22E-06
2015,12,19,1,59,2,8,2,4,2,4,3.22E-06
2015,10,16,10,13,10,24,10,20,10,20,3.22E-06
2015,10,15,21,35,21,49,21,41,21,42,3.22E-06
2016,8,8,2,35,3,17,3,1,3,0,3.22E-06
2014,6,16,20,10,20,33,20,22,20,22,3.22E-06
2014,4,17,21,50,23,33,22,38,22,38,3.22E-06
2011,11,15,16,27,16,39,16,33,16,32,3.22E-06
2011,11,2,10,39,10,55,10,48,10,48,3.22E-06
2016,11,30,2,9,2,24,2,22,2,22,3.21E-06
2014,11,9,22,7,22,17,22,14,22,14,3.21E-06
2014,8,20,18,50,19,29,19,11,19,10,3.21E-06
2012,9,11,1,0,1,18,1,11,1,10,3.21E-06
2014,1,26,5,18,6,41,6,16,6,16,3.21E-06
2014,9,25,19,12,21,47,20,32,20,32,3.21E-06
2014,1,5,18,13,18,27,18,17,18,16,3.21E-06
2012,5,10,6,19,6,29,6,22,6,22,3.21E-06
2014,6,30,4,12,4,26,4,19,4,18,3.21E-06
2011,9,23,12,10,12,40,12,23,12,22,3.21E-06
2013,10,25,22,52,23,8,23,0,23,0,3.20E-06
2012,4,24,7,38,8,0,7,45,7,44,3.20E-06
2011,12,21,2,57,3,16,3,12,3,12,3.20E-06
2011,12,28,16,3,16,25,16,10,16,10,3.19E-06
2011,4,14,5,20,5,33,5,27,5,26,3.19E-06
2014,2,3,22,29,22,36,22,33,22,32,3.19E-06
2014,2,8,12,25,12,33,12,30,12,30,3.19E-06
2013,11,24,14,29,15,56,15,26,15,26,3.19E-06
2011,9,27,7,40,7,54,7,47,7,46,3.19E-06
2011,9,24,7,20,7,27,7,23,7,24,3.19E-06
2015,8,25,6,18,6,37,6,31,6,30,3.19E-06
2015,5,6,20,19,20,25,20,23,20,24,3.19E-06
2014,9,17,21,10,21,48,21,39,21,38,3.19E-06
2014,8,21,1,12,2,0,1,37,1,36,3.19E-06
2014,1,3,18,30,18,40,18,35,18,34,3.19E-06
2013,11,13,23,5,23,11,23,8,23,8,3.19E-06
2014,3,19,19,39,19,55,19,50,19,50,3.18E-06
2013,10,26,22,29,22,40,22,35,22,36,3.18E-06
2014,1,8,3,4,3,20,3,11,3,10,3.18E-06
2012,3,13,6,55,8,35,7,28,7,28,3.18E-06
2011,4,1,3,48,3,59,3,54,3,54,3.18E-06
2015,6,22,2,15,3,11,2,42,2,42,3.18E-06
2013,12,21,21,43,22,33,22,22,22,22,3.18E-06
2016,2,15,18,42,18,49,18,46,18,46,3.17E-06
2015,7,6,16,19,16,25,16,22,16,22,3.17E-06
2015,5,13,4,9,4,48,4,15,4,16,3.17E-06
2014,3,3,5,53,6,4,5,58,5,58,3.17E-06
2013,11,24,9,33,9,47,9,40,9,40,3.17E-06
2012,7,5,15,56,16,1,15,59,15,58,3.17E-06
2012,3,9,10,20,10,26,10,23,10,24,3.17E-06
2012,5,15,22,11,22,18,22,16,22,16,3.17E-06
2011,11,17,13,53,14,28,14,0,14,0,3.17E-06
2011,3,6,9,54,10,6,10,1,10,2,3.17E-06
2013,10,26,8,52,8,57,8,55,8,54,3.17E-06
2013,11,10,12,47,12,58,12,52,12,52,3.16E-06
2015,6,18,21,34,21,57,21,46,21,46,3.16E-06
2014,10,20,2,25,2,32,2,28,2,28,3.16E-06
2013,11,23,3,24,3,50,3,39,3,38,3.16E-06
2015,2,8,20,23,21,16,21,4,21,4,3.16E-06
2012,12,26,4,48,4,58,4,55,4,54,3.16E-06
2012,9,2,10,15,10,26,10,21,10,22,3.16E-06
2017,3,28,4,47,5,3,4,56,4,56,3.15E-06
2013,11,14,23,15,23,26,23,22,23,22,3.15E-06
2013,10,15,20,4,20,57,20,13,20,12,3.15E-06
2014,12,3,9,10,9,59,9,34,9,34,3.14E-06
2014,6,14,17,39,17,54,17,47,17,46,3.14E-06
2014,2,6,11,45,11,59,11,56,11,56,3.14E-06
2013,4,27,6,17,6,26,6,22,6,22,3.14E-06
2014,3,31,14,5,14,21,14,15,14,14,3.14E-06
2012,11,20,15,18,15,41,15,29,15,28,3.14E-06
2012,6,20,16,14,16,37,16,28,16,28,3.14E-06
2011,3,27,0,6,0,20,0,14,0,14,3.14E-06
2011,2,18,18,13,18,25,18,21,18,20,3.14E-06
2011,12,9,13,5,13,31,13,20,13,20,3.14E-06
2011,9,14,23,29,23,41,23,37,23,38,3.14E-06
2014,7,31,15,10,15,27,15,17,15,16,3.13E-06
2014,4,22,8,44,8,54,8,49,8,48,3.13E-06
2014,3,23,2,27,2,45,2,37,2,38,3.13E-06
2014,3,15,0,20,0,30,0,26,0,26,3.13E-06
2013,12,29,5,48,5,55,5,52,5,52,3.13E-06
2015,8,22,20,4,20,54,20,42,20,42,3.13E-06
2015,10,30,12,54,13,9,13,1,13,2,3.13E-06
2010,1,2,22,57,23,35,23,19,23,18,3.13E-06
2015,10,17,12,31,12,39,12,35,12,34,3.13E-06
2012,5,27,4,42,6,32,5,52,5,52,3.13E-06
2012,4,5,16,16,16,32,16,24,16,24,3.13E-06
2014,9,15,0,20,0,35,0,27,0,28,3.12E-06
2011,6,15,14,19,14,45,14,32,14,32,3.12E-06
2013,4,23,18,10,18,45,18,33,18,34,3.12E-06
2012,7,10,20,7,20,16,20,14,20,14,3.12E-06
2014,11,14,14,47,15,34,15,8,15,8,3.12E-06
2014,9,8,0,8,0,13,0,11,0,10,3.12E-06
2014,3,10,7,29,8,6,7,47,7,46,3.12E-06
2013,7,21,8,24,9,39,8,44,8,44,3.12E-06
2011,7,29,17,56,18,10,18,2,18,2,3.12E-06
2014,12,17,22,43,22,52,22,47,22,46,3.11E-06
2017,3,27,11,7,11,18,11,12,11,12,3.11E-06
2014,11,28,20,12,20,19,20,16,20,16,3.11E-06
2014,9,4,10,0,10,24,10,11,10,10,3.11E-06
2012,7,7,13,2,13,9,13,6,13,6,3.11E-06
2011,7,8,9,39,9,54,9,47,9,48,3.11E-06
2011,5,29,9,44,9,49,9,47,9,48,3.11E-06
2013,7,4,1,53,2,8,2,4,2,4,3.11E-06
2010,2,13,20,42,21,5,20,52,20,52,3.11E-06
2015,10,16,8,57,9,6,9,3,9,2,3.11E-06
2014,1,17,2,8,2,59,2,31,2,32,3.11E-06
2013,11,6,17,24,17,38,17,31,17,32,3.11E-06
2013,7,5,21,30,21,39,21,35,21,34,3.11E-06
2013,6,24,20,35,20,54,20,50,20,50,3.11E-06
2011,10,10,7,7,7,27,7,19,7,18,3.11E-06
2013,12,16,20,53,22,9,21,33,21,34,3.10E-06
2015,2,1,11,26,11,45,11,33,11,32,3.10E-06
2014,1,2,21,41,21,50,21,46,21,46,3.10E-06
2013,1,5,4,29,4,52,4,49,4,50,3.10E-06
2015,4,5,20,39,21,29,21,3,21,2,3.10E-06
2013,1,7,8,44,8,57,8,52,8,52,3.10E-06
2015,6,11,19,59,20,48,20,41,20,40,3.09E-06
2015,4,23,14,56,15,29,15,20,15,20,3.09E-06
2013,12,7,4,30,4,42,4,36,4,36,3.09E-06
2014,10,17,15,34,15,41,15,39,15,38,3.09E-06
2013,7,30,22,3,22,33,22,19,22,18,3.09E-06
